//----------------------------------------------------------------
// Product Info
// W Coins Shop
//----------------------------------------------------------------
// G.Id	iGuid	iIndex	iNumber	Price	Dur	UseTime	iType	Level	Skill	Luck	Option	ExOpt	AncOp
// Category 13 Special
1921	2144	13	44	70	0	360	80	0	0	0	0	0	0
1921	2145	13	44	150	0	1440	80	0	0	0	0	0	0
1921	2146	13	44	350	0	4320	80	0	0	0	0	0	0
1921	2147	13	44	700	0	10080	80	0	0	0	0	0	0
1921	2148	13	44	2100	0	302400	80	0	0	0	0	0	0

1920	2140	13	94	70	0	360	80	0	0	0	0	0	0
1920	2141	13	94	150	0	1440	80	0	0	0	0	0	0
1920	2142	13	94	700	0	10080	80	0	0	0	0	0	0
1920	2143	13	94	2100	0	302400	80	0	0	0	0	0	0
//
1923	2153	13	43	70	0	360	80	0	0	0	0	0	0
1923	2154	13	43	150	0	1440	80	0	0	0	0	0	0
1923	2155	13	43	350	0	4320	80	0	0	0	0	0	0
1923	2156	13	43	700	0	10080	80	0	0	0	0	0	0
1923	2157	13	43	2100	0	302400	80	0	0	0	0	0	0

1922	2149	13	93	70	0	360	80	0	0	0	0	0	0
1922	2150	13	93	150	0	1440	80	0	0	0	0	0	0
1922	2151	13	93	700	0	10080	80	0	0	0	0	0	0
1922	2152	13	93	2100	0	302400	80	0	0	0	0	0	0
//
1924	2158	13	62	70	0	360	80	0	0	0	0	0	0
1924	2159	13	62	120	0	1440	80	0	0	0	0	0	0
1924	2160	13	62	600	0	10080	80	0	0	0	0	0	0

39	64	13	63	100	0	1440	80	0	0	0	0	0	0
39	65	13	63	500	0	10080	80	0	0	0	0	0	0

11	17	13	45	80	0	1440	80	0	0	0	0	0	0
11	18	13	45	680	0	14400	80	0	0	0	0	0	0
11	19	13	45	1250	0	302400	80	0	0	0	0	0	0

73	123	13	104	120	0	1440	80	0	0	0	0	0	0
73	124	13	104	600	0	10080	80	0	0	0	0	0	0

74	125	13	105	120	0	1440	80	0	0	0	0	0	0
74	126	13	105	600	0	10080	80	0	0	0	0	0	0
//
37	60	14	98	150	0	1440	80	0	0	0	0	0	0
37	61	14	98	700	0	10080	80	0	0	0	0	0	0

29	49	14	76	100	0	1440	80	0	0	0	0	0	0
29	50	14	76	500	0	10080	80	0	0	0	0	0	0

30	51	14	77	100	0	1440	80	0	0	0	0	0	0
30	52	14	77	500	0	10080	80	0	0	0	0	0	0

36	58	14	97	150	0	1440	80	0	0	0	0	0	0
36	59	14	97	700	0	10080	80	0	0	0	0	0	0

26	43	14	73	100	0	1440	80	0	0	0	0	0	0
26	44	14	73	500	0	10080	80	0	0	0	0	0	0

27	45	14	74	150	0	1440	80	0	0	0	0	0	0
27	46	14	74	700	0	10080	80	0	0	0	0	0	0

28	47	14	75	150	0	1440	80	0	0	0	0	0	0
28	48	14	75	700	0	10080	80	0	0	0	0	0	0

25	41	14	72	150	0	1440	80	0	0	0	0	0	0
25	42	14	72	700	0	10080	80	0	0	0	0	0	0


// Category 23 Pet
60	99	13	80	150	0	1440	80	0	0	0	0	0	0
60	100	13	80	700	0	10080	80	0	0	0	0	0	0

61	101	13	122	150	0	1440	80	0	0	0	0	0	0
61	102	13	122	700	0	10080	80	0	0	0	0	0	0

20	31	13	64	100	0	1440	80	0	0	0	0	0	0
20	32	13	64	500	0	10080	80	0	0	0	0	0	0
20	33	13	64	1400	0	302400	80	0	0	0	0	0	0

72	121	13	106	150	0	1440	80	0	0	0	0	0	0
72	122	13	106	700	0	10080	80	0	0	0	0	0	0

21	34	13	65	100	0	1440	80	0	0	0	0	0	0
21	35	13	65	500	0	10080	80	0	0	0	0	0	0
21	36	13	65	1400	0	302400	80	0	0	0	0	0	0
// Category 24 Equipment
283	351	12	135	90	0	1440	80	0	0	0	0	0	0
283	352	12	135	450	0	10080	80	0	0	0	0	0	0

54	87	12	132	90	0	1440	80	0	0	0	0	0	0
54	88	12	132	450	0	10080	80	0	0	0	0	0	0

55	89	12	133	90	0	1440	80	0	0	0	0	0	0
55	90	12	133	450	0	10080	80	0	0	0	0	0	0

56	91	12	134	90	0	1440	80	0	0	0	0	0	0
56	92	12	134	450	0	10080	80	0	0	0	0	0	0

53	85	12	131	90	0	1440	80	0	0	0	0	0	0
53	86	12	131	450	0	10080	80	0	0	0	0	0	0
//
462	537	13	132	90	0	1440	80	0	0	0	0	0	0
462	538	13	132	600	0	10080	80	0	0	0	0	0	0
462	539	13	132	1800	0	70560	80	0	0	0	0	0	0

534	534	13	130	90	0	1440	80	0	0	0	0	0	0
534	535	13	130	600	0	10080	80	0	0	0	0	0	0
534	536	13	130	1800	0	70560	80	0	0	0	0	0	0

459	528	13	128	90	0	1440	80	0	0	0	0	0	0
459	529	13	128	600	0	10080	80	0	0	0	0	0	0
459	530	13	128	1800	0	70560	80	0	0	0	0	0	0

460	531	13	129	90	0	1440	80	0	0	0	0	0	0
460	532	13	129	600	0	10080	80	0	0	0	0	0	0
460	533	13	129	1800	0	70560	80	0	0	0	0	0	0

463	540	13	134	90	0	1440	80	0	0	0	0	0	0
463	541	13	134	600	0	10080	80	0	0	0	0	0	0
463	542	13	134	1800	0	70560	80	0	0	0	0	0	0

// G.Id	iGuid	iIndex	iNumber	Price	Dur	UseTime	iType	Level	Skill	Luck	Option	ExOpt	AncOp
// Category 25 Ticket
12	20	13	46	100	1	0	80	0	0	0	0	0	0
12	21	13	46	900	10	0	80	0	0	0	0	0	0
13	22	13	47	100	1	0	80	0	0	0	0	0	0
13	23	13	47	900	10	0	80	0	0	0	0	0	0
19	29	13	50	150	1	0	80	0	0	0	0	0	0
19	30	13	50	1350	10	0	80	0	0	0	0	0	0
47	73	13	48	80	1	0	80	0	0	0	0	0	0
47	74	13	48	720	10	0	80	0	0	0	0	0	0

// Category 26 Potion
24	40	14	71	20	20	0	80	0	0	0	0	0	0
23	39	14	70	20	20	0	80	0	0	0	0	0	0
76	129	14	133	40	10	0	80	0	0	0	0	0	0

//Category 34 Buff
2184	2426	14	169	500	0	0	80	0	0	0	0	0	0
2284	2526	14	169	500	0	0	80	0	0	0	0	0	0
2185	2427	14	169	500	0	0	80	0	0	0	0	0	0
2187	2429	14	70	60	10	0	80	0	0	0	0	0	0
2186	2428	14	71	60	10	0	80	0	0	0	0	0	0
2189	2431	14	70	100	20	0	80	0	0	0	0	0	0
2188	2430	14	71	100	20	0	80	0	0	0	0	0	0
2192	2434	13	128	400	0	0	80	0	0	0	0	0	0
2193	2435	13	129	400	0	0	80	0	0	0	0	0	0
2196	2438	14	73	700	0	0	80	0	0	0	0	0	0
2197	2439	14	74	700	0	0	80	0	0	0	0	0	0
2199	2441	13	104	700	0	0	80	0	0	0	0	0	0
2198	2440	13	105	700	0	0	80	0	0	0	0	0	0



3527	3788	13	166	12000	0	0	80	0	0	0	0	0	0
2453	2696	13	78	12000	0	0	80	0	0	0	0	0	0



end
