////////////////////////////////////////////////////////////////////////////////
//Attr1 [-1(None). 0(Ice). 1(Poison). 2(Lightning). 3(Fire). 4(Earth). 5(Wind). 6(Water)]
//Attr2 [-1(None). 0(Physical). 1(Magic)]
// UseType [0(General). 1(Position). 3(Master Level: Passive). 4(Master Level: Active)]
// SkillType : [0(General). 1(Ally:Buff). 2(Enemy:Debuf). 3(Self: Non-target)]
//Index	Name					Level	Damage	Mana	BP	Dist	Delay	Eng	Cha	Attr	Attr2	UseType	SkillBr	KillCnt	Status0	Status1	Status2	Class0	Class1	Class2	Class3	Class4	Class5	Class6	Rank	Group	MLPts	ReqHP	ReqSD	Time	ReqStr	ReqDex	IconId	SType	Weapon	DmgType
63	"Summon"				98	0	70	30	0	30000	34	400	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	"Increase Critical Damage"		82	0	50	50	0	0	25	300	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
65	"Electric Spike"			92	250	0	100	10	5000	29	340	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	"Force Wave"				0	50	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
74	"Fire Blast"				0	150	30	10	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//75	"Sacrifice"				120	0	100	35	0	0	37	450	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	"Fire Scream"				102	130	45	10	6	0	32	70	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	"Explosion"				0	0	0	0	2	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	"Stun"					0	0	70	50	2	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0
68	"Cancel Stun"				0	0	25	30	0	0	0	0	-1	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
69	"Swell Mana"				0	0	35	30	0	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
70	"Invisibility"				0	0	80	60	0	0	0	0	-1	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
71	"Cancel Invisibility"			0	0	40	30	0	0	0	0	-1	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
72	"Abolish Magic"				0	0	90	70	0	0	0	0	-1	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	"Plasma Storm"				110	60	50	20	6	1500	0	0	-1	0	0	0	0	0	0	0	2	2	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
200	"Summon Monster"			0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"Magic Attack Immunity"			0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"Physical Attack Immunity"		0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	"Potion of Bless"			0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	"Potion of Soul"			0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	"Infinity Arrow"			220	0	50	10	6	200	0	0	-1	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
210	"Spell of Protection"			0	0	30	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
211	"Spell of Restriction"			0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0
212	"Spell of Pursuit"			0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
213	"Shied-Burn"				0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
214	"Drain Life"				35	35	50	0	6	0	93	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
219	"Sleep"					40	0	20	3	6	0	100	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
223	"Explosion"				50	40	90	5	6	4000	100	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
215	"Chain Lightning"			75	70	85	0	6	0	75	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
224	"Requiem"				75	65	110	10	6	4000	99	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
217	"Damage Reflection"			80	0	40	10	5	5000	111	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
225	"Pollution"				85	80	120	15	6	4000	115	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
//224	"Test4"					72	100	130	20	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
//216	"Light strike"				93	95	120	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
230	"Lightning Shock"			93	95	115	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
218	"Berserker"				83	0	100	50	5	5000	181	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
//225	"Test5"					88	115	140	20	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0
221	"Weakness"				93	0	50	15	6	4000	173	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
//226	"Test6"					97	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
//227	"Test7"					102	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
//228	"Test8"					106	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0
222	"Innovation"				111	0	70	15	6	4000	201	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
//229	"Test9"					116	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
//220	"Blind"					0	0	20	10	6	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
232	"Strike of Destruction"			100	110	30	24	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	"Expansion of Wizardry"			220	0	200	50	6	0	118	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
234	"Recovery"				100	0	40	10	6	0	37	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
235	"Multi-Shot"				100	40	10	7	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	"Flame Strike"				100	140	20	25	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	"Gigantic Storm"			220	110	120	10	6	0	118	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	"Chaotic Diseier"			100	190	50	15	6	0	16	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	"Doppeganger Self Explosion"		100	140	20	25	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	"Killing Blow"				0	0	9	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
261	"Beast Uppercut"			0	0	9	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
262	"Chain Drive"				150	0	15	20	4	700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
263	"Dark Side"				180	0	70	0	4	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
264	"Dragon Roar"				150	0	50	30	3	700	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
265	"Dragon Slasher"			200	0	100	100	4	3000	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
266	"Ignore Defense"			120	0	50	10	3	0	80	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
267	"Increase Health"			80	0	50	10	7	0	35	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
268	"Increase Block"			50	0	50	10	7	0	30	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
269	"Charge"				0	90	20	15	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
270	"Phoenix Shot"				0	0	30	0	4	1200	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
//Index	Name					Level	Damage	Mana	BP	Dist	Delay	Eng	Cha	Attr	Attr2	UseType	SkillBr	KillCnt	Status0	Status1	Status2	Class0	Class1	Class2	Class3	Class4	Class5	Class6	Rank	Group	MLPts	ReqHP	ReqSD	Time	ReqStr	ReqDex	IconId	SType	Weapon	DmgType
300	"Durability Reduction (1)"		0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0
301	"PvP Defence Rate Increase"		0	12	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	1	2	1	0	0	0	0	0	1	0	0	0
302	"Maximum SD increase"			0	13	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	2	3	1	0	0	0	0	0	2	0	0	0
303	"Auto Mana Recovery Increase"		0	7	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	2	4	1	0	0	0	0	0	3	0	0	0
304	"Poison Resistance Increase"		0	1	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	2	5	1	0	0	0	0	0	4	0	0	0
305	"Durability Reduction (2)"		0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	3	6	1	0	0	0	0	0	5	0	0	0
306	"SD Recovery Speed Increase"		0	2	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	3	7	1	0	0	0	0	0	6	0	0	0
307	"Automatic HP Recovery Increase"	0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	3	8	1	0	0	0	0	0	7	0	0	0
308	"Lightning Resistance Increase"		0	1	0	0	0	0	0	0	2	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	3	9	1	0	0	0	0	0	8	0	0	0
309	"Defense Increase"			0	16	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	4	10	1	0	0	0	0	0	9	0	0	0
310	"Automatic AG Recovery Increase"	0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	4	11	1	0	0	0	0	0	10	0	0	0
311	"Ice Resistance Increase"		0	1	0	0	0	0	0	0	0	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	4	12	1	0	0	0	0	0	11	0	0	0
312	"Durability Reduction (3)"		0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	5	13	1	0	0	0	0	0	12	0	0	0
313	"Defense Success Rate Increase"		0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	5	14	1	0	0	0	0	0	13	0	0	0
//314	"Cast Invincibility"			0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	6	15	1	0	0	0	0	0	14	0	0	0
315	"Armor Set Bonus Increase"		0	3	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	6	16	1	0	0	0	0	0	15	0	0	0
316	"Vengeance"				0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	6	17	1	0	0	0	0	0	16	0	0	0
317	"Energy Increase"			0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	7	18	1	0	0	0	0	0	17	0	0	0
318	"Stamina Increase"			0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	7	19	1	0	0	0	0	0	18	0	0	0
319	"Agility Increase"			0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	7	20	1	0	0	0	0	0	19	0	0	0
320	"Strength Increase"			0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	7	21	1	0	0	0	0	0	20	0	0	0
//321	"Wing of Storm Absorption PowUp"	0	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	0	3	0	0	0	0	0	8	22	1	0	0	0	0	0	21	0	0	0
322	"Wing of Storm Defense PowUp"		0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	0	3	0	0	0	0	0	8	23	1	0	0	0	0	0	22	0	0	0
//323	"Iron Defense"				0	1	64 	29	0	0	0	0	-1	-1	3	0	0	0	0	0	0	3	0	0	3	0	0	8	24	10	0	0	0	0	0	23	0	0	0
324	"Wing of Storm Attack PowUp"		0	17	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	0	3	0	0	0	0	0	9	35	1	0	0	0	0	0	24	0	0	0
325	"Attack Success Rate Increase"		0	13	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	1	36	1	0	0	0	0	0	25	0	0	0
326	"Cyclone Strengthener"			0	22	9 	0	2	0	0	0	-1	0	4	22	0	0	0	0	0	3	0	0	0	0	0	2	37	1	0	0	0	0	0	26	0	1	1
327	"Slash Strengthener"			0	3	10 	0	2	0	0	0	-1	0	4	23	0	0	0	0	0	3	0	0	0	0	0	2	38	1	0	0	0	0	0	27	0	1	1
328	"Falling Slash Strengthener"		0	3	9 	0	3	0	0	0	-1	0	4	19	0	0	0	0	0	3	0	0	0	0	0	2	39	1	0	0	0	0	0	28	0	1	1
329	"Lunge Strengthener"			0	3	9 	0	2	0	0	0	-1	0	4	20	0	0	0	0	0	3	0	0	0	0	0	2	40	1	0	0	0	0	0	29	0	1	1
330	"Twisting Slash Strengthener"		0	3	10 	10	2	0	0	0	-1	0	4	41	0	0	0	0	0	3	0	0	0	0	0	3	41	1	0	0	0	0	0	30	0	0	1
331	"Rageful Blow Strengthener"		170	22	25 	22	3	0	0	0	-1	0	4	42	0	0	0	0	0	3	0	0	0	0	0	3	42	1	0	0	0	0	0	31	0	0	1
332	"Twisting Slash Mastery"		0	1	22 	20	2	0	0	0	-1	0	4	330	0	0	0	0	0	3	0	0	0	0	0	4	41	1	0	0	0	0	0	32	0	0	0
333	"Rageful Blow Mastery"			170	1	50 	30	3	0	0	0	4	0	4	331	0	0	0	0	0	3	0	0	0	0	0	4	42	1	0	0	0	0	0	33	0	0	0
334	"Maximum Life Increase"			0	9	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	0	4	43	1	0	0	0	0	0	34	0	0	0
335	"Weapon Mastery"			0	22	0 	0	0	0	0	0	-1	-1	3	0	0	0	0	0	0	3	0	0	0	0	0	4	44	1	0	0	0	0	0	35	0	0	0
336	"Slash Strengthener"			160	22	15 	13	2	0	0	0	5	0	4	43	0	0	0	0	0	3	0	0	0	0	0	5	45	1	0	0	0	0	0	36	0	0	1
