// MonsterAutomata.txt
// Id	Description		Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
0
// Dummy AI
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
2	"Summon->None->General"		0	6	0	0	100	-1	-1	1000
2	"Summon->Outside->General"	1	6	0	2	100	-1	-1	1000
2	"Summon->Inside->General"	2	6	0	1	100	-1	-1	1000
// Tanker
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
3	"General->None->Attack"		0	0	2	0	100	-1	-1	1000
3	"General->Outside->Attack"	1	0	2	2	100	-1	-1	1000
3	"General->Inside->Attack"	2	0	2	1	100	-1	-1	1000

3	"Attack->None->General"		0	2	0	0	100	-1	-1	1000
3	"Attack->Outside->General"	1	2	0	2	100	-1	-1	1000
3	"Attack->Inside->General"	2	2	0	1	100	-1	-1	1000
// Maya hands - General Attack
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
4	"General->None->Move"		0	0	1	0	100	-1	-1	1000
4	"General->Outside->Move"	1	0	1	2	100	-1	-1	1000
4	"General->Inside->Attack"	2	0	2	1	100	-1	-1	1000

4	"Move->None->Move"		0	1	1	0	100	-1	-1	1000
4	"Move->Inside->Attack"		1	1	2	1	50	-1	-1	1000
4	"Move->Outside->Move"		2	1	1	2	100	-1	-1	1000

4	"Attack->None->Move"		0	2	1	0	100	-1	-1	1000
4	"Attack->Outside->Move"		1	2	1	2	100	-1	-1	1000
4	"Attack->Inside->Attack"	2	2	2	1	30	-1	-1	1000
4	"Attack->Inside->General"	3	2	0	1	100	-1	-1	1000

4	"Invincible->None->General"	0	6	0	0	100	-1	-1	1000
4	"Invincible->Inside->General"	1	6	0	1	100	-1	-1	1000
4	"Invincible->Outside->General"	2	6	0	2	100	-1	-1	1000
// Maya hands quick attack
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
5	"General->None->Move"		0	0	1	0	100	-1	-1	1000
5	"General->Inside->Attack"	1	0	2	1	100	-1	-1	1000
5	"General->Outside->Move"	2	0	1	2	100	-1	-1	1000

5	"Move->None->Move"		0	1	1	0	100	-1	-1	1000
5	"Move->Inside->Attack"		1	1	2	1	80	-1	-1	1000
5	"Move->Outside->Move"		2	1	1	2	100	-1	-1	1000

5	"Attack->None->Move"		0	2	1	0	100	-1	-1	1000
5	"Attack->Inside->Attack"	1	2	2	1	80	-1	-1	1000
5	"Attack->Outside->Move"		2	2	1	2	100	-1	-1	1000
5	"Attack->Inside->General"	3	2	0	1	100	-1	-1	1000
// Maya hands faster attack
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
6	"General->None->Move"		0	0	1	0	100	-1	-1	1000
6	"General->Inside->Attack"	1	0	2	1	100	-1	-1	1000
6	"General->Outside->Move"	2	0	1	2	100	-1	-1	1000

6	"Move->None->Move"		0	1	1	0	100	-1	-1	1000
6	"Move->Inside->Attack"		1	1	2	1	100	-1	-1	1000
6	"Move->Outside->Move"		2	1	1	2	100	-1	-1	1000

6	"Attack->None->Move"		0	2	1	0	100	-1	-1	1000
6	"Attack->AGRO UP->Attack"	1	2	2	7	50	-1	3000	1000
6	"Attack->Inside->Attack"	2	2	2	1	100	-1	-1	1000
6	"Attack->Outside->Move"		3	2	1	2	100	-1	-1	1000
6	"Attack->HP decrease->Avoid"	4	2	4	4	100	-1	10000	1000

6	"Avoid->None->General"		0	4	0	0	100	-1	-1	1000
6	"Avoid->AGRO UP->Attack"	1	4	2	7	70	-1	1000	1000
6	"Avoid->Outside->Move"		2	4	1	2	50	-1	-1	1000
6	"Avoid->Inside->Attack"		3	4	2	1	50	-1	-1	1000
6	"Avoid->Inside->Avoid"		4	4	4	1	80	-1	-1	1000
6	"Avoid->HP decrease->Avoid"	5	4	4	4	100	-1	2000	1000
6	"Avoid->Inside->General"	6	4	0	1	100	-1	-1	1000
6	"Avoid->Outside->General"	7	4	0	2	100	-1	-1	1000
// Maya hands - Invincible
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
7	"General->None->Invincible"	0	0	6	0	100	-1	-1	1000
7	"General->Inside->Invincible"	1	0	6	1	100	-1	-1	1000
7	"General->Outside->Invincible"	2	0	6	2	100	-1	-1	1000

7	"Invincible->None->Invincible"	0	6	6	0	100	-1	-1	1000
7	"Invincible->Inside->Invincib"	1	6	6	1	100	-1	-1	1000
7	"Invincible->Outside->Invinci"	2	6	6	2	100	-1	-1	1000
// Nightmare - State1. UnitNumber 68
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
8	"General->None->Move"		0	0	1	0	100	-1	  -1	1000
8	"General->Outside->Move"	1	0	1	2	100	-1	  -1	1000
8	"General->HP DD->Summon"	2	0   	6   	5   	100     -1        80	1000
8	"General->Inside->Attack"	3	0	2	1	100	-1	  -1	1500

8   	"Move->None->Move"		0	1	1	0	100	-1	  -1	1000
8	"Move->HP DD->Summon"		1	1   	6   	5   	100     -1        80	1000
8	"Move->Inside->Attack"		2	1	2	1	100	-1	  -1	1500
8	"Move->Outside->Move"		3	1	1	2	100	-1	  -1	1000

8	"Attack->None->General"		0	2	0	0	100	-1	  -1	1000
8	"Attack->Outside->General"	1	2	0	2	100	-1	  -1	1000
8	"Attack->HP DD->Summon"		2	2   	6   	5   	100     -1        80	1000
8	"Attack->Inside->Attack"	3	2	2	1	100	-1	  -1	1500

8	"Summon->무조건->Invincible"	0	6	5	6	100	-1	  -1	1000

8	"Invincible->무조건->워프"	0	5	4	6	100	-1	  -1	1000

8	"워프->무조건->AI"	0	4	7	6	100	-1	  -1	1000

8	"AI->None->Move"	0	7	1	0	100	-1	  -1	1000
8	"AI->Outside->Move"	1	7	1	2	100	-1	  -1	1000
8	"AI->Inside->Move"	2	7	1	1	100	-1	  -1	1000

// Nightmare - 상태2. UnitNumber 69
//Automata Description		Pri 	Cur	Next 	Type	Rate	ValueType Value	Delay
9	"General->None->Move"	0	0	1	0	100	-1	  -1	1000
9	"General->Outside->Move"	1	0	1	2	100	-1	  -1	1000
9	"General->Inside->Attack"	2	0	2	1	100	-1	  -1	1500

9	"Move->None->Move"	0	1	1	0	100	-1	  -1	1000
9	"Move->Inside->Attack"	1	1	2	1	100	-1	  -1	1500
9	"Move->Outside->Move"	2	1	1	2	100	-1	  -1	1000

9	"Attack->None->General"	0	2	0	0	100	-1	  -1	1000
9	"Attack->Outside->General"	1	2	0	2	100	-1	  -1	1000
9	"Attack->HP DD->Summon"	2	2  	6 	5  	100   	-1        50	1000
9	"Attack->Inside->Attack"	3	2	2	1	100	-1	  -1	1500

9	"Summon->무조건->Invincible"	0	6	5	6	100	-1	  -1	1000

9	"Invincible->무조건->워프"	0	5	4	6	100	-1	  -1	1000

9	"워프->무조건->AI"	0	4	7	6	100	-1	  -1	1000

9	"AI->None->Move"	0	7	1	0	100	-1	  -1	1000
9	"AI->Outside->Move"	1	7	1	2	100	-1	  -1	1000
9	"AI->Inside->Move"	2	7	1	1	100	-1	  -1	1000


// Nightmare - 상태3. UnitNumber 70
//Automata Description		Pri 	Cur	Next 	Type	Rate	ValueType Value	Delay
12  "General->None->Move"	0	0	1	0	100	-1	  -1	1000
12  "General->Outside->Move"	1	0	1	2	100	-1	  -1	1000
12  "General->Inside->Attack"	2	0	2	1	100	-1	  -1	1500

12  "Move->None->Move"	0	1	1	0	100	-1	  -1	1000
12  "Move->Inside->Attack"	1	1	2	1	50	-1	  -1	1500
12  "Move->Outside->Move"	2	1	1	2	100	-1	  -1	1000

12  "Attack->None->General"	0	2	0	0	100	-1	  -1	1000
12  "Attack->Outside->General"	1	2	0	2	100	-1	  -1	1000
12  "Attack->HP DD->Summon"	2	2   	6   	5   	100     -1        20	1000
12  "Attack->Inside->Attack"	3	2	2	1	100	-1	  -1	1500

12  "Summon->무조건->Invincible"	0	6	5	6	100	-1	  -1	1000

12  "Invincible->무조건->워프"	0	5	4	6	100	-1	  -1	1000

12  "워프->무조건->AI"		0	4	7	6	100	-1	  -1	1000

12  "AI->None->Move"		0	7	1	0	100	-1	  -1	1000
12  "AI->Outside->Move"		1	7	1	2	100	-1	  -1	1000
12  "AI->Inside->Move"		2	7	1	1	100	-1	  -1	1000

// Nightmare - 상태4. UnitNumber 71
//Automata Description		Pri 	Cur	Next 	Type	Rate	ValueType Value	Delay
11  "General->None->Move"	0	0	1	0	100	-1	  -1	1000
11  "General->Outside->Move"	1	0	1	2	100	-1	  -1	1000
11  "General->Inside->Attack"	2	0	2	1	100	-1	  -1	1500

11  "Move->None->Move"	0	1	1	0	100	-1	  -1	1000
11  "Move->Inside->Attack"	1	1	2	1	100	-1	  -1	1500
11  "Move->Outside->Move"	2	1	1	2	100	-1	  -1	1000

11  "Attack->None->General"	0	2	0	0	100	-1	-1	1000
11  "Attack->Outside->General"	1	2	0	2	100	-1	-1	1000
11  "Attack->Inside->Attack"	2	2	2	1	100	-1	-1	1500

11  "AI->None->Move"		0	7	1	0	100	-1	  -1	1000
11  "AI->Outside->Move"		1	7	1	2	100	-1	  -1	1000
11  "AI->Inside->Move"		2	7	1	1	100	-1	  -1	1000
end
